FILA_EXCEL,MOTIVO,FECHA,FOLIO,UNIDAD,LITROS,ODOMETRO,OPERADOR,CUENTALT_INI,CUENTALT_FIN,DECISION
174,LITROS_INVALIDOS,2023-07-25,3382,CANCELADA,,,Beto,,,
428,LITROS_INVALIDOS,2023-11-06,4450,NOTA VACÌA,,,Beto,1109168.0,1109168.0,
530,CUENTALITROS_INVERTIDO,2023-12-14,4563,NISSAN,1100.0,,Beto,1157470.0,1156570.0,
580,"FECHA_INVALIDA, UNIDAD_VACIA, LITROS_INVALIDOS",,4613,,,,,,,
584,CUENTALITROS_INVERTIDO,2023-12-26,4617,CA15,150.0,,Beto,1177258.0,1176509.0,
688,"FOLIO_INVALIDO, LITROS_INVALIDOS",2024-01-20,,X,,,X,,,
721,"FECHA_INVALIDA, LITROS_INVALIDOS",,4755,CANCELADA,,,x,,,
758,"FECHA_INVALIDA, LITROS_INVALIDOS",,4792,CANCELADA,,,x,,,
773,LITROS_INVALIDOS,2024-02-14,4807,CANCELADA,,,Beto,,,
798,CUENTALITROS_INVERTIDO,2024-02-20,4832,CA06,100.0,,Beto,1263011.0,126111.0,
845,"FECHA_INVALIDA, LITROS_INVALIDOS",,4879,x,,,x,,,
850,"FECHA_INVALIDA, LITROS_INVALIDOS",,4884,x,,,x,,,
852,"FECHA_INVALIDA, LITROS_INVALIDOS",,4886,x,,,x,,,
955,CUENTALITROS_INVERTIDO,2024-03-16,5039,CA01,86.0,,Mago,1313683.0,1313597.0,
969,CUENTALITROS_INVERTIDO,2024-03-21,5103,CA20,150.0,,Beto,1318696.0,1218846.0,
970,CUENTALITROS_INVERTIDO,2024-03-21,5104,CA15,150.0,,Beto,1318846.0,1315997.0,
978,LITROS_INVALIDOS,2024-03-22,5112,cancelada,,,x,,,
979,CUENTALITROS_INVERTIDO,2024-03-22,5113,CA21,150.0,,Beto,13210888.0,1321039.0,
985,"FECHA_INVALIDA, LITROS_INVALIDOS",,5119,CANCELADA,,,0,,,
1067,CUENTALITROS_INVERTIDO,2024-04-06,5260,CA15,170.0,,Beto,1348426.0,1348396.0,
1131,CUENTALITROS_INVERTIDO,2024-04-22,5424,EX08 cat 307,30.0,,Beto,1382555.0,1372585.0,
1132,CUENTALITROS_INVERTIDO,2024-04-22,5425,NISSAN,1100.0,,Beto,1382585.0,1373685.0,
1186,"FOLIO_INVALIDO, UNIDAD_VACIA, LITROS_INVALIDOS",2024-05-01,,,,,,,,
1228,"FECHA_INVALIDA, UNIDAD_VACIA, LITROS_INVALIDOS",,,,,,,,,
1310,FOLIO_INVALIDO,2024-05-23,,NISSAN,1000.0,,Alberto,,,
1391,LITROS_INVALIDOS,2024-06-05,3685,Cancelada,,,Alberto,,,
1415,"FECHA_INVALIDA, LITROS_INVALIDOS",,3809,Cancelada,,,X,,,
1416,"FECHA_INVALIDA, LITROS_INVALIDOS",,3810,Cancelada,,,X,,,
1423,"FECHA_INVALIDA, LITROS_INVALIDOS",,3817,Cancelada,,,X,,,
1445,CUENTALITROS_INVERTIDO,2024-06-13,3839,NISSAN,200.0,,Alberto,1469806.0,147006.0,
1453,CUENTALITROS_INVERTIDO,2024-06-14,3847,CA19,50.0,,Alberto,1471872.0,1470922.0,
1509,CUENTALITROS_INVERTIDO,2024-06-26,3903,CA06,150.0,,Alberto,1488003.0,1485153.0,
1534,"FECHA_INVALIDA, LITROS_INVALIDOS",,3928,CANCELADA,,,X,,,
1591,CUENTALITROS_INVERTIDO,2024-07-13,8902,CA25,162.0,,Alberto,1508163.0,1505325.0,
1624,LITROS_INVALIDOS,2024-07-17,8935,CANCELADA,,,x,,,
1655,LITROS_INVALIDOS,2024-07-20,8766,CANCELADA,,,x,,,
1664,LITROS_INVALIDOS,2024-07-23,8775,CANCELADA,,,x,,,
1673,LITROS_INVALIDOS,2024-07-24,8784,CANCELADA,,,x,,,
1677,CUENTALITROS_INVERTIDO,2024-07-25,8788,NISSAN,1251.0,,Alberto,1530817.0,1523068.0,
1687,LITROS_INVALIDOS,2024-07-26,,8798,,,,,,
1700,LITROS_INVALIDOS,2024-07-29,,SIN CARGAS,,,,,,
1706,CUENTALITROS_INVERTIDO,2024-07-30,6006,CA22,160.0,,Alberto,1737784.0,1537945.0,
1730,CUENTALITROS_INVERTIDO,2024-08-02,6030,NISSAN,820.0,,Alberto,15444777.0,1545598.0,
1789,LITROS_INVALIDOS,2024-08-09,6089,Cancelada,,,x,,,
1811,CUENTALITROS_INVERTIDO,2024-08-10,6111,CA11,181.0,,Alberto,1562960.0,1562871.0,
1816,CUENTALITROS_INVERTIDO,2024-08-10,6116,CA02,208.0,,Alberto,1563624.0,1563383.0,
1852,CUENTALITROS_INVERTIDO,2024-08-15,6252,CA21,150.0,,Alberto,1572803.0,1572654.0,
1892,LITROS_INVALIDOS,2024-08-18,6295,x,,,Sergio,,,
2060,LITROS_INVALIDOS,2024-09-10,6360,CANCELADA,,,Alberto,,,
2099,LITROS_INVALIDOS,2024-09-13,6399,x,,,x,,,
2101,LITROS_INVALIDOS,2024-09-13,6401,x,,,x,,,
2104,LITROS_INVALIDOS,2024-09-14,6404,CANCELADA,,,,,,
2185,CUENTALITROS_INVERTIDO,2024-09-24,6485,CA25,150.0,,Alberto,1644601.0,164475.0,
2193,LITROS_INVALIDOS,2024-09-26,6493,X,,,0,,,
2224,CUENTALITROS_INVERTIDO,2024-09-28,6531,CA03,103.0,,Alberto,1652840.0,1652643.0,
2231,FOLIO_INVALIDO,2024-09-30,,NISSAN,1220.0,,alberto,,,
2237,CUENTALITROS_INVERTIDO,2024-10-02,6543,ca21,225.0,,Alberto,1656253.0,1655478.0,
2255,FOLIO_INVALIDO,2024-10-03,,NISSAN,800.0,,sergio,,,
2264,LITROS_INVALIDOS,2024-10-04,6669,x,,,x,,,
2303,LITROS_INVALIDOS,2024-10-10,6708,canelada,,,Alvaro,,,
2397,LITROS_INVALIDOS,2024-10-24,6802,CANCELADA,,,Alvaro,,,
2409,LITROS_INVALIDOS,2024-10-25,7579,PRESTAMO CANALES,,,Mago,,,
2410,LITROS_INVALIDOS,2024-10-25,7579,CARGAS DEL  PTMO,,,Mago,,,
2417,CUENTALITROS_INVERTIDO,2024-10-26,6820,CA03,130.0,,Rolando,17000908.0,1701038.0,
2442,FECHA_INVALIDA,,6845,CA02,80.0,,Alberto,1708013.0,1708093.0,
2443,FECHA_INVALIDA,,6846,NISSAN,700.0,,Mago,1708094.0,1708993.0,
2444,FECHA_INVALIDA,,6847,CA22,200.0,,Alvaro,1708793.0,1708993.0,
2445,FECHA_INVALIDA,,6848,CA01,111.0,,Alvaro,1708993.0,1709105.0,
2446,FECHA_INVALIDA,,6849,CA14,150.0,,Alvaro,1709105.0,1709255.0,
2447,FECHA_INVALIDA,,6850,CA25,150.0,,Alvaro,1709255.0,1709405.0,
2448,FECHA_INVALIDA,,6851,CA11,200.0,,Alvaro,1709405.0,1709606.0,
2460,LITROS_INVALIDOS,2024-11-01,6863,CANCELDA,,,Alvaro,,,
